Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4357334;Cancelled;24942022;Bajcsy59;2024.03.22 11:00;2024.03.22 15:00;;;Cleaning
4385636;Cancelled;25083323;Vas 4 / 2;2024.04.12 11:00;2024.04.12 15:00;7000;HUF;Cleaning
4455141;Cancelled;25422424;Lovag 8;2024.03.24 11:00;2024.03.24 15:00;;;Cleaning
4553082;Cancelled;25900340;Lovag 8;2024.03.24 11:00;2024.03.24 15:00;;;Cleaning
4600274;Done;24399216;Király 14;2024.03.30 11:00;2024.03.30 15:00;23;EUR;Cleaning
4600275;To Do;23466081;Bajcsy 19;2024.07.22 11:00;;23;EUR;Cleaning
4600276;Done;24294603;Bajcsy 19;2024.04.25 11:00;2024.04.25 15:00;23;EUR;Cleaning
4600277;Done;24146014;Gyulai Pal 12;2024.04.01 11:00;2024.04.01 15:00;23;EUR;Cleaning
4600278;Done;24280864;Gyulai Pal 12;2024.04.05 11:00;2024.04.05 15:00;23;EUR;Cleaning
4600279;Done;25035244;Gyulai Pal 12;2024.04.20 11:00;2024.04.20 15:00;23;EUR;Cleaning
4600280;Done;25348516;Gyulai Pal 12;2024.04.14 11:00;2024.04.16 15:00;23;EUR;Cleaning
4600281;Done;25361761;Gyulai Pal 12;2024.04.30 11:00;2024.04.30 15:00;23;EUR;Cleaning
4600282;Done;25412944;Gyulai Pal 12;2024.04.08 11:00;2024.04.11 15:00;23;EUR;Cleaning
4600283;Done;26060775;Gyulai Pal 12;2024.04.24 11:00;2024.04.26 15:00;23;EUR;Cleaning
4600284;Done;23385106;Király 14;2024.04.04 11:00;2024.04.05 15:00;23;EUR;Cleaning
4600285;Done;23385109;Király 14;2024.04.23 11:00;2024.04.25 15:00;23;EUR;Cleaning
4600286;To Do;23385113;Király 14;2024.05.04 11:00;2024.05.04 15:00;23;EUR;Cleaning
4600287;To Do;23385115;Király 14;2024.05.11 11:00;2024.05.18 15:00;23;EUR;Cleaning
4600288;To Do;23385116;Király 14;2024.05.25 11:00;2024.05.25 15:00;23;EUR;Cleaning
4600289;To Do;23385117;Király 14;2024.05.31 11:00;2024.06.15 15:00;23;EUR;Cleaning
4600290;To Do;23385118;Király 14;2024.07.22 11:00;2024.08.07 15:00;23;EUR;Cleaning
4600291;To Do;23385119;Király 14;2024.09.05 11:00;;23;EUR;Cleaning
4600292;To Do;23385199;Király 14;2024.07.11 11:00;2024.07.18 15:00;23;EUR;Cleaning
4600293;To Do;23385202;Király 14;2024.08.13 11:00;2024.09.01 15:00;23;EUR;Cleaning
4600294;To Do;23385203;Király 14;2024.07.07 11:00;2024.07.08 15:00;23;EUR;Cleaning
4600295;To Do;23385992;Király 14;2024.06.19 11:00;2024.06.19 15:00;23;EUR;Cleaning
4600296;Done;23433974;Király 14;2024.04.28 11:00;2024.04.28 15:00;23;EUR;Cleaning
4600297;Done;25541423;Király 14;2024.04.07 11:00;2024.04.10 15:00;23;EUR;Cleaning
4600298;Done;25568992;Király 14;2024.04.14 11:00;2024.04.14 15:00;23;EUR;Cleaning
4600299;Done;25974297;Király 14;2024.05.01 11:00;2024.05.01 15:00;23;EUR;Cleaning
4600300;Done;26038171;Király 14;2024.04.20 11:00;2024.04.20 15:00;23;EUR;Cleaning
4600301;To Do;26090668;Király 14;2024.05.26 11:00;2024.05.27 15:00;23;EUR;Cleaning
4600302;Done;23981602;Bajcsy 19;2024.04.01 11:00;2024.04.01 15:00;23;EUR;Cleaning
4600303;Done;24251446;Bajcsy 19;2024.04.10 11:00;2024.04.10 15:00;23;EUR;Cleaning
4600304;To Do;24281320;Bajcsy 19;2024.05.04 11:00;2024.05.04 15:00;23;EUR;Cleaning
4600305;Done;24312463;Bajcsy 19;2024.04.14 11:00;2024.04.15 15:00;23;EUR;Cleaning
4600306;To Do;24526052;Bajcsy 19;2024.05.15 11:00;2024.05.16 15:00;23;EUR;Cleaning
4600307;Done;24542304;Bajcsy 19;2024.04.28 11:00;2024.04.28 15:00;23;EUR;Cleaning
4600308;To Do;24589518;Bajcsy 19;2024.05.09 11:00;2024.05.10 15:00;23;EUR;Cleaning
4600309;Done;24623074;Bajcsy 19;2024.04.03 11:00;2024.04.03 15:00;23;EUR;Cleaning
